   TxNat  TxCho  PcPri PcSec Pib Fcpe Infl Recc MorIn CProt CNRJ
AL1   97    41    73   460   6870  211    60   409   197   58     394
AL2   95    40    68   453   8410  209    48   435   155   65     425
AL3   95    33    62   449  12450  227    41   427   147   67     463
AL4  101    44    55   435  11076  220    47   446   126   68     427
AU1  123    17   125   409   4990  267    78   391   205   56     307
AU2  114    16   118   406   6380  272    69   430   168   58     330
AU3  115    21   107   405   9120  250    53   430   148   59     360
AU4  124    25   102   400   8842  249    52   474   126   59     349
BE1  121    42    36   399   6350  220    94   407   146   62     426
BE2  124    63    33   379   8060  212    92   418   153   62     453
BE3  126    67    32   355  11000  210    64   432   117   63     496
BE4  126   111    30   334   9651  179    64   440   117   64     442
CA1  157    69    61   293   6990  242    83   374   155   65     878
CA2  155    81    57   289   8590  227    92   364   143   66     872
CA3  151    74    57   289   9580  225    87   358   120   66     916
CA4  152    75    55   283  11741  237   103   387   104   65     927
DA1  142    49    98   315   7010  199    99   450   104   66     350
DA2  122    51    91   304   9040  233   110   465    87   68     391
DA3  117    37    83   300  12940  215   104   465    91   67     423
DA4  104   103    74   293  11350  157   108   512    84   75     338
ES1  188    47   219   385   2870  232   139   231   121   50     173
ES2  180    63   207   374   3150  215   188   267   156   52     185
ES3  161    85   194   364   5310  190   186   268   151   53     199
ES4  141   140   182   352   4938  201   160   300   103   55     202
EU1  147    83    40   290   7090  163    70   307   161   73     791
EU2  153    69    36   289   8670  175    80   320   152   72     830
EU3  157    57    36   314  10650  181    89   326   130   75     869
EU4  159    75    35   301  12647  179    98   337   117   72     769
FI1  142    22   149   361   5650  267   133   395   102   63     473
FI2  139    60   129   348   6360  267   138   435   120   66     498
FI3  132    60   118   344   8690  231   107   391    76   66     546
FI4  132    52   111   348  10238  243    96   394    76   67     544
FR1  141    41   113   386   6360  234    96   406   132   68     318
FR2  140    49    96   377   7170  226   107   422   113   73     330
FR3  142    59    88   362  10680  213   104   436    98   76     375
FR4  149    73    86   352  10552  212   117   461    96   79     364
IR1  216    80   245   298   2480  223   151   350   184   66     227
IR2  214    94   231   303   2940  247   153   368   157   69     238
IR3  215    61   197   323   4390  326   141   384   149   70     261
IR4  210    89   177   317   4855  298   152   382   112   66     251
IT1  151    33   158   441   3080  212   138   347   207   50     228
IT2  134    71   159   386   3470  198   170   374   177   51     246
IT3  118    75   148   377   5690  187   166   362   153   51     252
IT4  109    83   134   375   6123  203   168   387   141   56     244
JA1  172    19   127   358   4420  308   122   235   100   34     297
JA2  155    20   119   354   6100  300   113   245    89   35     308
JA3  143    21   112   349   8720  317    65   243    80   36     326
JA4  131    22   100   353   9606  309    46   282    71   37     308
NO1  140    23   102   343   7060  354    90   502   105   57     477
NO2  125     9    90   323   8800  366    95   512   105   61     490
NO3  128    20    86   301  11360  273    84   521    86   64     587
NO4  124    20    85   298  13937  272    97   525    81   68     591
PB1  130    43    66   348   5950  213    89   536   106   59     435
PB2  125    45    63   332   7680  211    78   540    95   61     458
PB3  125    42    60   320  10620  217    60   558    85   65     490
PB4  126    75    50   302   9861  190    55   559    82   64     434
PO1  193    53   282   336   1550  136   169   230   379   39      88
PO2  186    78   325   331   1670  204   198   283   389   38      93
PO3  164    81   306   350   2070  199   218   283   389   39     112
PO4  155    81   261   365   2398  313   210   281   260   39     105
RU1  125    34    27   409   4070  199   145   400   160   55     363
RU2  117    55    27   400   4370  181   161   406   141   55     378
RU3  131    53    26   390   7170  178   144   388   133   55     395
RU4  130   110    28   363   8886  159   120   406   121   55     347
SU1  127    16    64   365   8460  207    85   522    83   66     600
SU2  116    18    61   343   9480  205   103   609    80   71     609
SU3  116    21    58   325  12820  195   105   603    73   70     626
SU4  113    25    56   313  13505  193   103   588    70   73     6031
